,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-10649000000.0,10759000000.0,-38685000000.0,12286000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-9892000000.0,6804000000.0,-39412000000.0,12173000000.0
Net Borrowings,-896000000.0,-5891000000.0,-7395000000.0,-2607000000.0
Total Cash From Financing Activities,17552000000.0,-1987000000.0,34655000000.0,-5791000000.0
Change To Operating Activities,-8872000000.0,-4592000000.0,594000000.0,-4496000000.0
Net Income,763000000.0,519000000.0,537000000.0,555000000.0
Change In Cash,67000000.0,1085000000.0,-1381000000.0,1163000000.0
Repurchase Of Stock,-425000000.0,-481000000.0,-12000000.0,-14000000.0
Total Cash From Operating Activities,-7593000000.0,-3732000000.0,3376000000.0,-5219000000.0
Depreciation,404000000.0,417000000.0,1710000000.0,-1302000000.0
Other Cashflows From Investing Activities,103000000.0,81000000.0,299000000.0,214000000.0
Dividends Paid,-215000000.0,-209000000.0,-223000000.0,-221000000.0
Other Cashflows From Financing Activities,19088000000.0,5094000000.0,42285000000.0,-2949000000.0
Change To Netincome,104000000.0,92000000.0,323000000.0,38000000.0
Capital Expenditures,-197000000.0,-162000000.0,-136000000.0,-153000000.0
