,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Capital Surplus,1656000000.0,1545000000.0,1418000000.0,1320000000.0
Total Liab,1793000000.0,1795000000.0,1865000000.0,1888000000.0
Total Stockholder Equity,400000000.0,262000000.0,495000000.0,668000000.0
Deferred Long Term Liab,98000000.0,91000000.0,54000000.0,
Other Current Liab,553000000.0,521000000.0,564000000.0,477000000.0
Total Assets,2193000000.0,2057000000.0,2360000000.0,2556000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,70000000.0,68000000.0,83000000.0,77000000.0
Retained Earnings,-1114000000.0,-1143000000.0,-823000000.0,-579000000.0
Other Liab,305000000.0,323000000.0,341000000.0,347000000.0
Good Will,401000000.0,396000000.0,395000000.0,399000000.0
Treasury Stock,-143000000.0,-141000000.0,-101000000.0,-74000000.0
Other Assets,371000000.0,246000000.0,170000000.0,101000000.0
Cash,529000000.0,494000000.0,715000000.0,1089000000.0
Total Current Liabilities,952000000.0,886000000.0,1009000000.0,1063000000.0
Deferred Long Term Asset Charges,222000000.0,87000000.0,67000000.0,57000000.0
Short Long Term Debt,44000000.0,25000000.0,19000000.0,60000000.0
Other Stockholder Equity,-143000000.0,-141000000.0,-101000000.0,-74000000.0
Property Plant Equipment,377000000.0,401000000.0,295000000.0,162000000.0
Total Current Assets,1044000000.0,1014000000.0,1428000000.0,1750000000.0
Net Tangible Assets,-1000000.0,-134000000.0,28000000.0,125000000.0
Net Receivables,416000000.0,421000000.0,602000000.0,554000000.0
Long Term Debt,438000000.0,473000000.0,485000000.0,478000000.0
Inventory,29000000.0,31000000.0,28000000.0,30000000.0
Accounts Payable,50000000.0,66000000.0,141000000.0,74000000.0
Intangible Assets,,,72000000.0,144000000.0
