,2021-07-04,2021-04-04,2020-12-31,2020-09-27
Investments,134322000.0,43917000.0,-239102000.0,-56507000.0
Change To Liabilities,104598000.0,-2619000.0,-5005000.0,-24087000.0
Total Cashflows From Investing Activities,87615000.0,4667000.0,-277207000.0,-119365000.0
Net Borrowings,-15553000.0,-51275000.0,-51275000.0,-51275000.0
Total Cash From Financing Activities,-169235000.0,-126661000.0,-14892000.0,-3049000.0
Change To Operating Activities,-32099000.0,-88056000.0,-25165000.0,7345000.0
Issuance Of Stock,15437000.0,17144000.0,1999000.0,13771000.0
Net Income,328319000.0,205512000.0,196332000.0,222718000.0
Change In Cash,123292000.0,-82972000.0,-31059000.0,219749000.0
Repurchase Of Stock,-152515000.0,-75863000.0,-279000.0,-216000.0
Effect Of Exchange Rate,-1372000.0,883000.0,616000.0,-349000.0
Total Cash From Operating Activities,206284000.0,38139000.0,260424000.0,342512000.0
Depreciation,31459000.0,33732000.0,32055000.0,30149000.0
Dividends Paid,-16604000.0,-16667000.0,-16612000.0,-16604000.0
Change To Inventory,55778000.0,-35870000.0,-25436000.0,20726000.0
Change To Account Receivables,-285186000.0,-87512000.0,92564000.0,109025000.0
Change To Netincome,10984000.0,8011000.0,-6030000.0,-9581000.0
Capital Expenditures,-34707000.0,-39250000.0,-38105000.0,-62858000.0
