Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,504900000.0,491000000.0,477500000.0,482500000.0
Capital Surplus,1873400000.0,1864000000.0,1857400000.0,1871500000.0
Total Liab,10574100000.0,10401200000.0,10241500000.0,10238800000.0
Total Stockholder Equity,3154000000.0,3046800000.0,3202200000.0,3155000000.0
Other Current Liab,2711000000.0,2673400000.0,2603500000.0,2656000000.0
Total Assets,13728100000.0,13448000000.0,13443700000.0,13393800000.0
Common Stock,600000.0,600000.0,600000.0,600000.0
Other Current Assets,2092300000.0,2030500000.0,2035700000.0,2000900000.0
Retained Earnings,2837900000.0,2734900000.0,2668000000.0,2529200000.0
Other Liab,83200000.0,64000000.0,4219700000.0,84600000.0
Good Will,178800000.0,178800000.0,178800000.0,178800000.0
Treasury Stock,-1557900000.0,-1552700000.0,-1323800000.0,-1246300000.0
Other Assets,922000000.0,903600000.0,919700000.0,876900000.0
Cash,106400000.0,112100000.0,120600000.0,231500000.0
Total Current Liabilities,9709700000.0,9556200000.0,5241000000.0,9373800000.0
Other Stockholder Equity,250500000.0,187700000.0,372500000.0,352400000.0
Total Current Assets,3604100000.0,3512200000.0,3495600000.0,3585400000.0
Long Term Investments,8518300000.0,8362400000.0,8372100000.0,8270200000.0
Net Tangible Assets,2975200000.0,2868000000.0,3023400000.0,2976200000.0
Net Receivables,1405400000.0,1369600000.0,1339300000.0,1353000000.0
Long Term Debt,781200000.0,781000000.0,780800000.0,780400000.0
Accounts Payable,6410200000.0,6281000000.0,1950000000.0,6013000000.0
Investments,-80700000.0,-76300000.0,-125700000.0,-319300000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-82000000.0,-78600000.0,-128500000.0,-323600000.0
Total Cash From Financing Activities,-90900000.0,-71700000.0,-143400000.0,51700000.0
Change To Operating Activities,117500000.0,104900000.0,74000000.0,242100000.0
Issuance Of Stock,8300000.0,5800000.0,1500000.0,300000.0
Net Income,128500000.0,92700000.0,164600000.0,118900000.0
Change In Cash,-5700000.0,-8500000.0,-110900000.0,48900000.0
Repurchase Of Stock,-73300000.0,-45300000.0,-118500000.0,-45000000.0
Total Cash From Operating Activities,167200000.0,141800000.0,161000000.0,320800000.0
Depreciation,4400000.0,3800000.0,4300000.0,4400000.0
Dividends Paid,-25100000.0,-25500000.0,-25500000.0,-24500000.0
Change To Account Receivables,-26400000.0,-21300000.0,-5300000.0,-51700000.0
Other Cashflows From Financing Activities,-800000.0,-6700000.0,-900000.0,-600000.0
Change To Netincome,-57700000.0,-39100000.0,-78100000.0,5600000.0
Capital Expenditures,-1300000.0,-2300000.0,-2800000.0,-4300000.0
Net Borrowings,,,,121500000.0
