,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,741400000.0,758500000.0,733200000.0,420600000.0
Capital Surplus,740700000.0,937600000.0,951900000.0,903800000.0
Total Liab,2816400000.0,2905100000.0,2802500000.0,1927500000.0
Total Stockholder Equity,2152900000.0,1868200000.0,1579600000.0,1442700000.0
Minority Interest,72300000.0,86600000.0,63100000.0,32200000.0
Other Current Liab,203000000.0,190100000.0,194500000.0,170500000.0
Total Assets,5041600000.0,4859900000.0,4445200000.0,3402400000.0
Common Stock,40700000.0,53100000.0,53100000.0,53100000.0
Other Current Assets,109100000.0,123100000.0,84000000.0,98300000.0
Retained Earnings,1339500000.0,1907400000.0,1630200000.0,1408400000.0
Other Liab,459000000.0,449100000.0,478300000.0,401600000.0
Good Will,1047600000.0,993700000.0,960500000.0,511800000.0
Treasury Stock,32000000.0,-1029900000.0,-1055600000.0,-922600000.0
Other Assets,96400000.0,127300000.0,99900000.0,103200000.0
Cash,320300000.0,209500000.0,132500000.0,121600000.0
Total Current Liabilities,848000000.0,736600000.0,685600000.0,671700000.0
Deferred Long Term Asset Charges,77000000.0,71800000.0,59000000.0,61000000.0
Short Long Term Debt,10100000.0,64200000.0,9400000.0,2700000.0
Other Stockholder Equity,41300000.0,-50100000.0,-95300000.0,-38300000.0
Property Plant Equipment,1153800000.0,1103300000.0,912100000.0,864200000.0
Total Current Assets,2000300000.0,1874600000.0,1737200000.0,1500100000.0
Long Term Investments,2100000.0,2500000.0,2300000.0,2500000.0
Net Tangible Assets,363900000.0,116000000.0,-114100000.0,510300000.0
Short Term Investments,37600000.0,25700000.0,21800000.0,16400000.0
Net Receivables,692000000.0,674300000.0,663200000.0,524900000.0
Long Term Debt,1431000000.0,1645200000.0,1638600000.0,854200000.0
Inventory,841300000.0,842000000.0,835700000.0,738900000.0
Accounts Payable,351400000.0,301700000.0,273200000.0,265200000.0
