Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,224000000.0,227000000.0,322000000.0,132000000.0
Capital Surplus,4171000000.0,4160000000.0,4157000000.0,4148000000.0
Total Liab,7557000000.0,7704000000.0,8581000000.0,8815000000.0
Total Stockholder Equity,-925000000.0,-983000000.0,-975000000.0,-1000000000.0
Minority Interest,7000000.0,7000000.0,7000000.0,7000000.0
Deferred Long Term Liab,51000000.0,54000000.0,90000000.0,64000000.0
Other Current Liab,14000000.0,14000000.0,74000000.0,1000000.0
Total Assets,6639000000.0,6728000000.0,7613000000.0,7822000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Assets,139000000.0,160000000.0,121000000.0,146000000.0
Retained Earnings,1437000000.0,1392000000.0,1390000000.0,1414000000.0
Other Liab,1301000000.0,1327000000.0,1466000000.0,1343000000.0
Good Will,965000000.0,964000000.0,964000000.0,958000000.0
Treasury Stock,-6535000000.0,-6537000000.0,-6524000000.0,-6564000000.0
Other Assets,280000000.0,278000000.0,143000000.0,351000000.0
Cash,328000000.0,322000000.0,1196000000.0,1276000000.0
Total Current Liabilities,1653000000.0,1603000000.0,1203000000.0,1288000000.0
Short Long Term Debt,929000000.0,915000000.0,625000000.0,616000000.0
Other Stockholder Equity,-27000000.0,-29000000.0,-16000000.0,-56000000.0
Property Plant Equipment,731000000.0,745000000.0,567000000.0,783000000.0
Total Current Assets,4439000000.0,4514000000.0,5591000000.0,5598000000.0
Net Tangible Assets,-2114000000.0,-2174000000.0,-2261000000.0,-2090000000.0
Net Receivables,2429000000.0,2464000000.0,2694000000.0,2643000000.0
Long Term Debt,4468000000.0,4647000000.0,5786000000.0,6017000000.0
Inventory,1339000000.0,1359000000.0,1347000000.0,1331000000.0
Accounts Payable,56000000.0,62000000.0,62000000.0,57000000.0
Deferred Long Term Asset Charges,,,27000000.0,
Long Term Investments,,,26000000.0,
Short Term Investments,,,29000000.0,
Net Income,72000000.0,29000000.0,2000000.0,40000000.0
Change To Liabilities,0.0,-68000000.0,-33000000.0,-41000000.0
Total Cashflows From Investing Activities,,-47000000.0,33000000.0,-62000000.0
Net Borrowings,,-846000000.0,-241000000.0,230000000.0
Total Cash From Financing Activities,,-884000000.0,-273000000.0,177000000.0
Issuance Of Stock,,2000000.0,3000000.0,3000000.0
Change In Cash,,-856000000.0,-81000000.0,212000000.0
Effect Of Exchange Rate,,-3000000.0,9000000.0,3000000.0
Total Cash From Operating Activities,,78000000.0,150000000.0,94000000.0
Depreciation,,31000000.0,32000000.0,32000000.0
Dividends Paid,,-26000000.0,-26000000.0,-26000000.0
Change To Inventory,,-53000000.0,-12000000.0,-20000000.0
Change To Account Receivables,,93000000.0,38000000.0,64000000.0
Other Cashflows From Financing Activities,,-14000000.0,-9000000.0,-27000000.0
Change To Netincome,,46000000.0,84000000.0,19000000.0
Capital Expenditures,,-12000000.0,-13000000.0,-17000000.0
Investments,,,50000000.0,-50000000.0
Change To Operating Activities,,,38000000.0,38000000.0
Other Cashflows From Investing Activities,,,-4000000.0,5000000.0
