Unnamed: 0,2020-10-31,2019-10-31,2018-10-31,2017-10-31
Capital Surplus,717272000.0,726879000.0,727053000.0,720115000.0
Total Liab,6138257000.0,5709445000.0,5475678000.0,4908135000.0
Total Stockholder Equity,4875235000.0,5071816000.0,4760199000.0,4531194000.0
Minority Interest,52241000.0,46877000.0,8713000.0,5896000.0
Other Current Liab,656199000.0,590063000.0,588706000.0,629832000.0
Total Assets,11065733000.0,10828138000.0,10244590000.0,9445225000.0
Common Stock,1529000.0,1529000.0,1779000.0,1779000.0
Other Current Assets,333800000.0,326043000.0,321775000.0,280862000.0
Retained Earnings,5164086000.0,4774422000.0,5161551000.0,4474064000.0
Other Liab,459406000.0,385596000.0,410864000.0,396026000.0
Treasury Stock,-1007652000.0,-431014000.0,-1130184000.0,-664764000.0
Other Assets,633089000.0,441511000.0,271014000.0,222468000.0
Cash,1370944000.0,1286014000.0,1182195000.0,712829000.0
Total Current Liabilities,1764364000.0,1552502000.0,1516638000.0,1412230000.0
Other Stockholder Equity,-7198000.0,-5831000.0,694000.0,-1910000.0
Property Plant Equipment,421129000.0,273412000.0,193281000.0,189547000.0
Total Current Assets,9580814000.0,9746963000.0,9348482000.0,8551452000.0
Long Term Investments,430701000.0,366252000.0,431813000.0,481758000.0
Net Tangible Assets,4875235000.0,5071816000.0,4760199000.0,4531194000.0
Net Receivables,189060000.0,235817000.0,223228000.0,253085000.0
Long Term Debt,3809673000.0,3771347000.0,3548176000.0,3099879000.0
Inventory,7658906000.0,7873048000.0,7598219000.0,7281453000.0
Accounts Payable,411397000.0,348599000.0,362098000.0,275223000.0
Short Long Term Debt,,,,61216000.0
Investments,-24247000.0,91367000.0,105699000.0,73171000.0
Change To Liabilities,71835000.0,-64518000.0,57927000.0,-140463000.0
Total Cashflows From Investing Activities,-177845000.0,-75914000.0,81266000.0,-7685000.0
Net Borrowings,-85804000.0,27412000.0,340671000.0,-610331000.0
Total Cash From Financing Activities,-753311000.0,-258514000.0,-214301000.0,-878248000.0
Change To Operating Activities,60877000.0,-31511000.0,-39585000.0,152900000.0
Issuance Of Stock,24856000.0,17369000.0,13392000.0,66000000.0
Net Income,446624000.0,590007000.0,748151000.0,535495000.0
Change In Cash,76961000.0,103233000.0,455176000.0,-24235000.0
Repurchase Of Stock,-634057000.0,-233523000.0,-503159000.0,-290881000.0
Total Cash From Operating Activities,1008117000.0,437661000.0,588211000.0,861698000.0
Depreciation,68873000.0,72149000.0,25259000.0,25361000.0
Other Cashflows From Investing Activities,698000.0,2416000.0,3799000.0,31104000.0
Dividends Paid,-56588000.0,-63641000.0,-61704000.0,-38587000.0
Change To Inventory,352858000.0,-40236000.0,-143598000.0,129666000.0
Change To Account Receivables,-176293000.0,-185261000.0,-99604000.0,-60944000.0
Other Cashflows From Financing Activities,-1718000.0,-6131000.0,-3501000.0,-4449000.0
Change To Netincome,187533000.0,139969000.0,43957000.0,243653000.0
Capital Expenditures,-109564000.0,-86971000.0,-28232000.0,-28872000.0
