,2020-10-31,2019-10-31,2018-10-31,2017-10-31
Investments,-24247000.0,91367000.0,105699000.0,73171000.0
Change To Liabilities,71835000.0,-64518000.0,57927000.0,-140463000.0
Total Cashflows From Investing Activities,-177845000.0,-75914000.0,81266000.0,-7685000.0
Net Borrowings,-85804000.0,27412000.0,340671000.0,-610331000.0
Total Cash From Financing Activities,-753311000.0,-258514000.0,-214301000.0,-878248000.0
Change To Operating Activities,60877000.0,-31511000.0,-39585000.0,152900000.0
Issuance Of Stock,24856000.0,17369000.0,13392000.0,66000000.0
Net Income,446624000.0,590007000.0,748151000.0,535495000.0
Change In Cash,76961000.0,103233000.0,455176000.0,-24235000.0
Repurchase Of Stock,-634057000.0,-233523000.0,-503159000.0,-290881000.0
Total Cash From Operating Activities,1008117000.0,437661000.0,588211000.0,861698000.0
Depreciation,68873000.0,72149000.0,25259000.0,25361000.0
Other Cashflows From Investing Activities,698000.0,2416000.0,3799000.0,31104000.0
Dividends Paid,-56588000.0,-63641000.0,-61704000.0,-38587000.0
Change To Inventory,352858000.0,-40236000.0,-143598000.0,129666000.0
Change To Account Receivables,-176293000.0,-185261000.0,-99604000.0,-60944000.0
Other Cashflows From Financing Activities,-1718000.0,-6131000.0,-3501000.0,-4449000.0
Change To Netincome,187533000.0,139969000.0,43957000.0,243653000.0
Capital Expenditures,-109564000.0,-86971000.0,-28232000.0,-28872000.0
