,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Total Liab,86451000.0,86039000.0,40384000.0,14937000.0
1,Total Stockholder Equity,485184000.0,512137000.0,244691000.0,105098000.0
2,Other Current Liab,4054000.0,5271000.0,1607000.0,851000.0
3,Total Assets,571635000.0,598176000.0,285075000.0,120035000.0
4,Common Stock,487877000.0,513598000.0,245769000.0,105902000.0
5,Other Current Assets,1978000.0,,13197000.0,1202000.0
6,Other Liab,64896000.0,58208000.0,28272000.0,8478000.0
7,Treasury Stock,-2693000.0,-1461000.0,-1078000.0,-804000.0
8,Other Assets,113009000.0,111055000.0,14376000.0,1964000.0
9,Cash,281046000.0,303645000.0,119647000.0,79580000.0
10,Total Current Liabilities,19530000.0,24464000.0,12112000.0,6459000.0
11,Other Stockholder Equity,-2693000.0,-1461000.0,-1078000.0,-804000.0
12,Property Plant Equipment,81740000.0,91421000.0,64802000.0,19516000.0
13,Total Current Assets,331240000.0,366640000.0,181594000.0,98555000.0
14,Long Term Investments,45646000.0,29060000.0,24303000.0,
15,Net Tangible Assets,485184000.0,512137000.0,244691000.0,105098000.0
16,Net Receivables,48216000.0,62995000.0,48750000.0,17773000.0
17,Accounts Payable,14680000.0,19193000.0,10505000.0,5608000.0
0,Change To Liabilities,2496000.0,11972000.0,9807000.0,9337000.0
1,Total Cashflows From Investing Activities,-25998000.0,-111692000.0,-81533000.0,-18720000.0
2,Total Cash From Financing Activities,-201660000.0,-50899000.0,-70049000.0,-44948000.0
3,Net Income,176049000.0,318728000.0,209736000.0,97231000.0
4,Change In Cash,-20621000.0,180199000.0,43866000.0,30162000.0
5,Total Cash From Operating Activities,207037000.0,342790000.0,195448000.0,93830000.0
6,Depreciation,14395000.0,8906000.0,2583000.0,376000.0
7,Dividends Paid,-77561000.0,-13576000.0,-8206000.0,-2769000.0
8,Change To Account Receivables,18828000.0,-13802000.0,-34027000.0,-12026000.0
9,Change To Netincome,-3514000.0,3924000.0,14789000.0,1100000.0
10,Capital Expenditures,-5086000.0,-32209000.0,-47878000.0,-18747000.0
11,Repurchase Of Stock,,-4353000.0,-38397000.0,-34267000.0
