,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,623700000.0,626800000.0,630100000.0,630900000.0
Capital Surplus,597100000.0,590000000.0,617500000.0,658400000.0
Total Liab,2867500000.0,3214900000.0,2795100000.0,2999200000.0
Total Stockholder Equity,401600000.0,317100000.0,503600000.0,446300000.0
Minority Interest,8500000.0,10100000.0,9900000.0,9900000.0
Other Current Liab,242200000.0,243800000.0,218500000.0,262700000.0
Total Assets,3277600000.0,3542100000.0,3308600000.0,3455400000.0
Common Stock,2800000.0,2800000.0,2800000.0,1000000.0
Retained Earnings,2287900000.0,2161300000.0,2045600000.0,1900900000.0
Other Liab,240900000.0,230600000.0,222200000.0,202600000.0
Good Will,767000000.0,765200000.0,766300000.0,761100000.0
Treasury Stock,-2486200000.0,-2437000000.0,-2162300000.0,-2114000000.0
Other Assets,117600000.0,132700000.0,131600000.0,107900000.0
Cash,58100000.0,290500000.0,65000000.0,229200000.0
Total Current Liabilities,858300000.0,895700000.0,974800000.0,1026700000.0
Deferred Long Term Asset Charges,14900000.0,13700000.0,13500000.0,15600000.0
Short Long Term Debt,24500000.0,26300000.0,32500000.0,24400000.0
Other Stockholder Equity,-69600000.0,-76300000.0,-65500000.0,-87900000.0
Property Plant Equipment,843600000.0,803100000.0,812200000.0,791400000.0
Total Current Assets,925700000.0,1214300000.0,968400000.0,1148100000.0
Net Tangible Assets,-989100000.0,-1074900000.0,-892800000.0,-945700000.0
Net Receivables,462500000.0,397400000.0,383700000.0,440800000.0
Long Term Debt,1414100000.0,1764100000.0,1263000000.0,1432500000.0
Inventory,324200000.0,318800000.0,312100000.0,275600000.0
Accounts Payable,346700000.0,278600000.0,324100000.0,330900000.0
Other Current Assets,,133500000.0,143800000.0,133500000.0
Long Term Investments,,,,16000000.0
