,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,0.0,0.0,63000000.0,0.0
Total Cashflows From Investing Activities,-33500000.0,-24400000.0,-35200000.0,-24200000.0
Net Borrowings,-354700000.0,502400000.0,-166500000.0,-230900000.0
Total Cash From Financing Activities,-429400000.0,168900000.0,-294100000.0,-229900000.0
Change To Operating Activities,44200000.0,-93800000.0,-22800000.0,111100000.0
Issuance Of Stock,1900000.0,6600000.0,4500000.0,900000.0
Net Income,140800000.0,130500000.0,144700000.0,121400000.0
Change In Cash,-232400000.0,225500000.0,-164200000.0,82400000.0
Repurchase Of Stock,-61300000.0,-313100000.0,-132200000.0,-100000.0
Effect Of Exchange Rate,4100000.0,-4900000.0,9500000.0,6500000.0
Total Cash From Operating Activities,226400000.0,85900000.0,155600000.0,330000000.0
Depreciation,27000000.0,26500000.0,25500000.0,25000000.0
Other Cashflows From Investing Activities,200000.0,100000.0,5800000.0,5800000.0
Dividends Paid,-13800000.0,-14300000.0,-14300000.0,-14300000.0
Other Cashflows From Financing Activities,-1500000.0,-12700000.0,100000.0,200000.0
Change To Netincome,13800000.0,22100000.0,31600000.0,71600000.0
Capital Expenditures,-29100000.0,-23500000.0,-37700000.0,-24200000.0
Change To Inventory,,,-42500000.0,-42500000.0
Change To Account Receivables,,,-55700000.0,-55700000.0
