,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Intangible Assets,5000000.0,5100000.0,5200000.0,5270000.0
1,Capital Surplus,125764000.0,124678000.0,126087000.0,124923000.0
2,Total Liab,250044000.0,310146000.0,181961000.0,174171000.0
3,Total Stockholder Equity,648776000.0,590144000.0,588531000.0,544064000.0
4,Other Current Liab,13369000.0,19752000.0,13288000.0,18364000.0
5,Total Assets,898820000.0,900290000.0,770492000.0,718235000.0
6,Common Stock,1407000.0,1406000.0,1406000.0,1406000.0
7,Other Current Assets,213000.0,287000.0,1323000.0,300000.0
8,Retained Earnings,847221000.0,785856000.0,737311000.0,694010000.0
9,Other Liab,47047000.0,47101000.0,47029000.0,33880000.0
10,Good Will,68456000.0,68460000.0,68465000.0,68500000.0
11,Treasury Stock,-325616000.0,-321796000.0,-276273000.0,-276275000.0
12,Other Assets,5499000.0,4809000.0,3911000.0,3990000.0
13,Cash,5470000.0,8221000.0,121701000.0,20081000.0
14,Total Current Liabilities,171556000.0,235625000.0,106353000.0,110109000.0
15,Property Plant Equipment,442914000.0,411839000.0,370919000.0,297575000.0
16,Total Current Assets,376951000.0,410082000.0,321997000.0,342900000.0
17,Net Tangible Assets,575320000.0,516584000.0,514866000.0,470294000.0
18,Net Receivables,285395000.0,318922000.0,123450000.0,264531000.0
19,Inventory,77232000.0,75012000.0,68238000.0,51581000.0
20,Accounts Payable,42876000.0,39167000.0,38622000.0,33345000.0
0,Change To Liabilities,4413000.0,10494000.0,-3094000.0,2252000.0
1,Total Cashflows From Investing Activities,-35717000.0,-57800000.0,-73112000.0,-37079000.0
2,Net Borrowings,-86500000.0,136000000.0,136000000.0,136000000.0
3,Total Cash From Financing Activities,-91366000.0,86894000.0,-48000.0,77000.0
4,Change To Operating Activities,19147000.0,-15262000.0,-5295000.0,15518000.0
5,Issuance Of Stock,400000.0,460000.0,368000.0,390000.0
6,Net Income,61366000.0,48545000.0,43300000.0,42710000.0
7,Change In Cash,-2751000.0,-113480000.0,101620000.0,7844000.0
8,Repurchase Of Stock,-5266000.0,-49566000.0,-417000.0,-313000.0
9,Total Cash From Operating Activities,124332000.0,-142574000.0,174780000.0,44846000.0
10,Depreciation,9179000.0,6323000.0,5389000.0,4435000.0
11,Change To Inventory,-2220000.0,-6774000.0,-16657000.0,-1932000.0
12,Change To Account Receivables,45664000.0,-202781000.0,146668000.0,-3734000.0
13,Change To Netincome,844000.0,2155000.0,14498000.0,1817000.0
14,Capital Expenditures,-36738000.0,-58093000.0,-73127000.0,-37083000.0
15,Other Cashflows From Financing Activities,,,1000.0,1000.0
