,2021-06-30,2021-03-31,2020-06-30,2020-03-31
Change To Liabilities,-8705000.0,9237000.0,-414000.0,1143000.0
Total Cashflows From Investing Activities,-4810000.0,-1197000.0,-829000.0,-1182000.0
Net Borrowings,-3976000.0,-804000.0,8787000.0,8787000.0
Total Cash From Financing Activities,1056318000.0,243970000.0,8958000.0,-171000.0
Change To Operating Activities,5772000.0,-5824000.0,76000.0,-781000.0
Issuance Of Stock,1065965000.0,253000.0,253000.0,253000.0
Net Income,-116529000.0,-385160000.0,-28084000.0,-25761000.0
Change In Cash,981844000.0,197140000.0,-18026000.0,-23759000.0
Effect Of Exchange Rate,-982000.0,1100000.0,-173000.0,-42000.0
Total Cash From Operating Activities,-68682000.0,-46733000.0,-25982000.0,-22364000.0
Depreciation,2299000.0,2110000.0,1949000.0,1825000.0
Change To Account Receivables,155000.0,-285000.0,-80000.0,-17000.0
Other Cashflows From Financing Activities,1267000.0,-117000.0,171000.0,-171000.0
Change To Netincome,48326000.0,333189000.0,571000.0,1227000.0
Capital Expenditures,-4718000.0,-1210000.0,-760000.0,-1120000.0
