,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,612483000.0,453038000.0,676551000.0,743050000.0
Capital Surplus,2288781000.0,2134748000.0,2019369000.0,1888039000.0
Total Liab,2696326000.0,2409588000.0,2202485000.0,2248871000.0
Total Stockholder Equity,3331892000.0,2539244000.0,2040580000.0,1488970000.0
Other Current Liab,1162126000.0,1002664000.0,1049711000.0,1014158000.0
Total Assets,6028218000.0,4948832000.0,4243065000.0,3737841000.0
Common Stock,1376000.0,1359000.0,1346000.0,1327000.0
Other Current Assets,597789000.0,617793000.0,646999000.0,588545000.0
Retained Earnings,1870971000.0,1282085000.0,877626000.0,73516000.0
Other Liab,301940000.0,218990000.0,250691000.0,513874000.0
Good Will,535306000.0,386494000.0,381717000.0,399530000.0
Treasury Stock,-829236000.0,-878948000.0,-857761000.0,-473912000.0
Other Assets,318209000.0,327018000.0,227257000.0,82401000.0
Cash,1422884000.0,1357664000.0,826525000.0,808973000.0
Total Current Liabilities,2234715000.0,2038539000.0,1951794000.0,1726929000.0
Deferred Long Term Asset Charges,90206000.0,116676000.0,134732000.0,4930000.0
Other Stockholder Equity,-8664000.0,-58376000.0,-37189000.0,-15732000.0
Property Plant Equipment,314127000.0,286172000.0,127882000.0,102478000.0
Total Current Assets,4220515000.0,3493351000.0,2827835000.0,2409177000.0
Long Term Investments,27578000.0,2759000.0,1823000.0,1205000.0
Net Tangible Assets,2184103000.0,1699712000.0,982312000.0,346390000.0
Short Term Investments,1308692000.0,644003000.0,744485000.0,615406000.0
Net Receivables,658316000.0,674180000.0,453372000.0,247649000.0
Inventory,17742000.0,19108000.0,28200000.0,15162000.0
Accounts Payable,71001000.0,65684000.0,72797000.0,35029000.0
Deferred Long Term Liab,,,,26719000.0
Long Term Debt,,,,8068000.0
