,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-5747000.0,5535000.0,4260000.0,4351000.0
Total Cashflows From Investing Activities,-38394000.0,-42767000.0,-6709000.0,-3756000.0
Net Borrowings,-37104000.0,-37104000.0,18739000.0,-393000.0
Total Cash From Financing Activities,468906000.0,414590000.0,105367000.0,20583000.0
Change To Operating Activities,-12186000.0,51212000.0,42234000.0,4723000.0
Issuance Of Stock,506010000.0,414590000.0,1798000.0,1092000.0
Net Income,-542731000.0,-31251000.0,-112485000.0,-18762000.0
Change In Cash,212151000.0,406405000.0,22231000.0,6114000.0
Effect Of Exchange Rate,-463000.0,-45000.0,-18000.0,-14000.0
Total Cash From Operating Activities,-217898000.0,34627000.0,-76409000.0,-10699000.0
Depreciation,19021000.0,7066000.0,3905000.0,4305000.0
Change To Inventory,-14601000.0,-6699000.0,-3732000.0,-1995000.0
Change To Account Receivables,-17847000.0,-5284000.0,-14747000.0,-5131000.0
Change To Netincome,356176000.0,13947000.0,3701000.0,1661000.0
Capital Expenditures,-36666000.0,-42742000.0,-6284000.0,-3756000.0
Repurchase Of Stock,,,,-80000.0
