,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,503000000.0,-782000000.0,-764000000.0,-2030000000.0
Change To Liabilities,-17000000.0,69000000.0,3000000.0,-13000000.0
Total Cashflows From Investing Activities,127000000.0,-1109000000.0,-996000000.0,-2189000000.0
Total Cash From Financing Activities,-1041000000.0,-1406000000.0,-844000000.0,-726000000.0
Change To Operating Activities,91000000.0,-306000000.0,32000000.0,182000000.0
Issuance Of Stock,54000000.0,196000000.0,114000000.0,123000000.0
Net Income,1931000000.0,1753000000.0,1688000000.0,1353000000.0
Change In Cash,1207000000.0,-665000000.0,285000000.0,-1472000000.0
Repurchase Of Stock,-146000000.0,-100000000.0,-15000000.0,-15000000.0
Total Cash From Operating Activities,2121000000.0,1850000000.0,2125000000.0,1443000000.0
Depreciation,232000000.0,226000000.0,180000000.0,83000000.0
Other Cashflows From Investing Activities,7000000.0,-20000000.0,-21000000.0,-15000000.0
Dividends Paid,-942000000.0,-940000000.0,-937000000.0,-825000000.0
Change To Inventory,40000000.0,65000000.0,117000000.0,64000000.0
Change To Account Receivables,-7000000.0,-170000000.0,-22000000.0,-216000000.0
Other Cashflows From Financing Activities,-7000000.0,-12000000.0,-6000000.0,-9000000.0
Change To Netincome,11000000.0,67000000.0,-71000000.0,31000000.0
Capital Expenditures,-386000000.0,-308000000.0,-212000000.0,-146000000.0
Net Borrowings,,-550000000.0,-550000000.0,-550000000.0
