,Unnamed: 0,2021-06-30,2020-06-30,2019-06-30,2018-06-30
0,Intangible Assets,8684000.0,3063000.0,3257000.0,460000.0
1,Total Liab,888286000.0,1032909000.0,776588000.0,706829000.0
2,Total Stockholder Equity,2699000.0,-295458000.0,99277000.0,315748000.0
3,Other Current Liab,104352000.0,61395000.0,91720000.0,53061000.0
4,Total Assets,890985000.0,737451000.0,875865000.0,1022577000.0
5,Common Stock,63000.0,64000.0,69000.0,74000.0
6,Other Current Assets,20064000.0,5968000.0,11631000.0,39029000.0
7,Retained Earnings,2635000.0,-295978000.0,98815000.0,315281000.0
8,Other Liab,112586000.0,121642000.0,132702000.0,133561000.0
9,Treasury Stock,1000.0,9000.0,393000.0,
10,Other Assets,68038000.0,44262000.0,73594000.0,6437000.0
11,Cash,249418000.0,142617000.0,238147000.0,666681000.0
12,Total Current Liabilities,276412000.0,264297000.0,179186000.0,112916000.0
13,Deferred Long Term Asset Charges,4776000.0,4102000.0,2910000.0,3106000.0
14,Short Long Term Debt,23865000.0,24067000.0,30675000.0,24425000.0
15,Other Stockholder Equity,1000.0,9000.0,393000.0,
16,Property Plant Equipment,119072000.0,102966000.0,13618000.0,14328000.0
17,Total Current Assets,694156000.0,586647000.0,753811000.0,1001352000.0
18,Long Term Investments,1035000.0,513000.0,31585000.0,
19,Net Tangible Assets,-5985000.0,-298521000.0,96020000.0,315288000.0
20,Short Term Investments,1320000.0,925000.0,69866000.0,
21,Net Receivables,172289000.0,142160000.0,156043000.0,174521000.0
22,Long Term Debt,467030000.0,628437000.0,464700000.0,460352000.0
23,Inventory,233767000.0,285943000.0,264281000.0,102220000.0
24,Accounts Payable,112071000.0,155547000.0,38722000.0,14098000.0
25,Capital Surplus,,447000.0,,393000.0
0,Investments,-941000.0,100203000.0,-105883000.0,-105883000.0
1,Change To Liabilities,-35880000.0,117755000.0,33408000.0,-29655000.0
2,Total Cashflows From Investing Activities,-19266000.0,69584000.0,-157567000.0,-9115000.0
3,Net Borrowings,-161250000.0,157500000.0,10000000.0,230250000.0
4,Total Cash From Financing Activities,-485955000.0,-625398000.0,-530225000.0,-260449000.0
5,Change To Operating Activities,8603000.0,-47664000.0,16909000.0,27060000.0
6,Issuance Of Stock,125000.0,179000.0,831000.0,1539000.0
7,Net Income,616584000.0,380297000.0,322694000.0,196290000.0
8,Change In Cash,106801000.0,-95530000.0,-428534000.0,62483000.0
9,Repurchase Of Stock,-220760000.0,-701257000.0,-469698000.0,-487053000.0
10,Total Cash From Operating Activities,612022000.0,460284000.0,259258000.0,332047000.0
11,Depreciation,12100000.0,7695000.0,7556000.0,7310000.0
12,Dividends Paid,-100813000.0,-78682000.0,-71358000.0,-71358000.0
13,Change To Inventory,52890000.0,-28053000.0,-163659000.0,35974000.0
14,Change To Account Receivables,-30136000.0,13883000.0,18728000.0,-33973000.0
15,Other Cashflows From Financing Activities,-3257000.0,-3138000.0,-3138000.0,-5185000.0
16,Change To Netincome,13594000.0,17997000.0,6213000.0,21613000.0
17,Capital Expenditures,-18325000.0,-30619000.0,-51684000.0,-9115000.0
