,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-1075000000.0,-1714000000.0,-1450000000.0,-1959000000.0
Change To Liabilities,-834000000.0,609000000.0,2317000000.0,-3986000000.0
Total Cashflows From Investing Activities,-5502000000.0,-3707000000.0,-5178000000.0,-2869000000.0
Net Borrowings,1951000000.0,2907000000.0,-355000000.0,-2274000000.0
Total Cash From Financing Activities,-218000000.0,787000000.0,-1596000000.0,-5018000000.0
Change To Operating Activities,-450000000.0,2013000000.0,1269000000.0,2825000000.0
Issuance Of Stock,328000000.0,436000000.0,234000000.0,336000000.0
Net Income,4266000000.0,4862000000.0,2212000000.0,3172000000.0
Change In Cash,-123000000.0,3034000000.0,-629000000.0,-4777000000.0
Repurchase Of Stock,-1250000000.0,-1650000000.0,-1709000000.0,-850000000.0
Effect Of Exchange Rate,57000000.0,-51000000.0,44000000.0,-17000000.0
Total Cash From Operating Activities,5540000000.0,6005000000.0,6101000000.0,3127000000.0
Depreciation,778000000.0,758000000.0,-82000000.0,719000000.0
Other Cashflows From Investing Activities,-416000000.0,-232000000.0,-341000000.0,21000000.0
Dividends Paid,-1367000000.0,-1181000000.0,-1184000000.0,-1188000000.0
Change To Account Receivables,1677000000.0,-2895000000.0,-494000000.0,245000000.0
Other Cashflows From Financing Activities,120000000.0,275000000.0,1418000000.0,-1042000000.0
Change To Netincome,103000000.0,658000000.0,65000000.0,152000000.0
Capital Expenditures,-562000000.0,-568000000.0,-574000000.0,-557000000.0
