,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,2864000000.0,3223000000.0,3392000000.0,3228000000.0
Capital Surplus,8511000000.0,8475000000.0,8469000000.0,8464000000.0
Total Liab,500180000000.0,442943000000.0,415717000000.0,412374000000.0
Total Stockholder Equity,47112000000.0,45869000000.0,45045000000.0,43621000000.0
Minority Interest,630000000.0,630000000.0,628000000.0,626000000.0
Total Assets,553905000000.0,495426000000.0,467374000000.0,462040000000.0
Common Stock,21000000.0,21000000.0,21000000.0,21000000.0
Other Current Assets,10089000000.0,9729000000.0,5999000000.0,6892000000.0
Retained Earnings,64188000000.0,63186000000.0,59065000000.0,54142000000.0
Other Liab,14823000000.0,16221000000.0,13914000000.0,15012000000.0
Good Will,9918000000.0,9655000000.0,9369000000.0,9434000000.0
Treasury Stock,-25608000000.0,-25813000000.0,-22510000000.0,-19006000000.0
Other Assets,318605000000.0,319068000000.0,308549000000.0,303438000000.0
Cash,62507000000.0,19205000000.0,18353000000.0,16405000000.0
Total Current Liabilities,443134000000.0,386555000000.0,360463000000.0,365103000000.0
Other Stockholder Equity,322000000.0,-1373000000.0,-2322000000.0,-1404000000.0
Property Plant Equipment,3468000000.0,3702000000.0,2457000000.0,2432000000.0
Total Current Assets,76797000000.0,30986000000.0,25592000000.0,25319000000.0
Long Term Investments,142253000000.0,128792000000.0,118015000000.0,118189000000.0
Net Tangible Assets,36540000000.0,35537000000.0,35075000000.0,33604000000.0
Long Term Debt,41221000000.0,40167000000.0,41340000000.0,32259000000.0
Inventory,74000000.0,137000000.0,172000000.0,192000000.0
Accounts Payable,429770000000.0,361916000000.0,345475000000.0,347215000000.0
