,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,2662556000.0,2300434000.0,1756864000.0,1411272000.0
Capital Surplus,187000.0,,24839000.0,24839000.0
Total Liab,14157112000.0,7594590000.0,9119196000.0,5885442000.0
Total Stockholder Equity,109744000.0,113238000.0,2374280000.0,2022361000.0
Minority Interest,2577242000.0,2664798000.0,,
Other Current Liab,315098000.0,285293000.0,112559000.0,104619000.0
Total Assets,16844098000.0,10372626000.0,11493476000.0,7907803000.0
Common Stock,160000.0,160000.0,,
Other Current Assets,143419000.0,253508000.0,176963000.0,51053000.0
Retained Earnings,109397000.0,113078000.0,2349441000.0,1997522000.0
Other Assets,8799000.0,5245000.0,57989000.0,66397000.0
Cash,1048177000.0,1592663000.0,1223837000.0,755795000.0
Total Current Liabilities,10092898000.0,6126358000.0,7038036000.0,5381907000.0
Short Long Term Debt,7917947000.0,4036866000.0,5526345000.0,4742206000.0
Property Plant Equipment,279350000.0,254316000.0,223599000.0,161228000.0
Total Current Assets,13893393000.0,7812631000.0,9455024000.0,6268906000.0
Net Tangible Assets,-2552812000.0,-2187196000.0,617416000.0,611089000.0
Short Term Investments,219000.0,475000.0,,
Net Receivables,12591023000.0,5912312000.0,8054224000.0,5462058000.0
Long Term Debt,3904016000.0,1314171000.0,1975309000.0,399102000.0
Accounts Payable,940466000.0,1116202000.0,801423000.0,398953000.0
