Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,418345000.0,436422000.0,454499000.0,473317000.0
Capital Surplus,1201890000.0,1190950000.0,1160567000.0,1143149000.0
Total Liab,8418589000.0,8846552000.0,8110760000.0,7635918000.0
Total Stockholder Equity,1578081000.0,1639205000.0,1468540000.0,1396760000.0
Minority Interest,344741000.0,404874000.0,386498000.0,410047000.0
Other Current Liab,3383756000.0,3271097000.0,3232014000.0,3065753000.0
Total Assets,10341411000.0,10890631000.0,9965798000.0,9442725000.0
Common Stock,2000.0,2000.0,2000.0,2000.0
Retained Earnings,648893000.0,615580000.0,422381000.0,343817000.0
Good Will,1148926000.0,1148926000.0,1148926000.0,1148926000.0
Treasury Stock,-272704000.0,-167327000.0,-114410000.0,-90208000.0
Other Assets,337171000.0,354664000.0,359401000.0,365023000.0
Cash,848111000.0,899041000.0,889559000.0,567677000.0
Total Current Liabilities,6574741000.0,6966571000.0,6225817000.0,5676492000.0
Deferred Long Term Asset Charges,180356000.0,183035000.0,193070000.0,192467000.0
Other Stockholder Equity,-19117000.0,-15045000.0,-25487000.0,-35203000.0
Property Plant Equipment,348149000.0,361724000.0,382454000.0,403619000.0
Total Current Assets,8007765000.0,8520145000.0,7552202000.0,6985035000.0
Long Term Investments,81055000.0,68750000.0,68316000.0,66805000.0
Net Tangible Assets,10810000.0,53857000.0,-134885000.0,-225483000.0
Short Term Investments,5299342000.0,5449038000.0,4681059000.0,4258738000.0
Net Receivables,1860312000.0,2172066000.0,1981584000.0,2158620000.0
Long Term Debt,1602815000.0,1636221000.0,1639280000.0,1636829000.0
Accounts Payable,1277803000.0,1773896000.0,1428926000.0,1277330000.0
Investments,-2850000.0,-2106000.0,5176000.0,-3252000.0
Change To Liabilities,-522621000.0,369914000.0,156344000.0,-625933000.0
Total Cashflows From Investing Activities,-17096000.0,-25642000.0,-6003000.0,40137000.0
Net Borrowings,-61801000.0,176460000.0,-59902000.0,-1244000.0
Total Cash From Financing Activities,-311099000.0,-89744000.0,-241698000.0,-114323000.0
Change To Operating Activities,-30015000.0,358071000.0,281567000.0,-50005000.0
Issuance Of Stock,4819000.0,2933000.0,1938000.0,3604000.0
Net Income,62910000.0,239405000.0,112280000.0,116709000.0
Change In Cash,-106578000.0,14828000.0,341043000.0,-82053000.0
Repurchase Of Stock,-105067000.0,-77093000.0,-37285000.0,-2418000.0
Effect Of Exchange Rate,66000.0,-3676000.0,11458000.0,7812000.0
Total Cash From Operating Activities,221551000.0,133890000.0,577286000.0,-15679000.0
Depreciation,34426000.0,34855000.0,4790000.0,34920000.0
Dividends Paid,-29483000.0,-30147000.0,-30346000.0,-30347000.0
Change To Account Receivables,354554000.0,-273382000.0,160336000.0,657969000.0
Other Cashflows From Financing Activities,-119567000.0,-161897000.0,-116103000.0,-83918000.0
Change To Netincome,56288000.0,193455000.0,129219000.0,14685000.0
Capital Expenditures,-9101000.0,-3488000.0,-7171000.0,-1635000.0
