,2021-06-26,2021-03-27,2020-12-26,2020-09-26
Change To Liabilities,35752000.0,44656000.0,-17036000.0,22377000.0
Total Cashflows From Investing Activities,-332090000.0,-29308000.0,-32644000.0,-18373000.0
Net Borrowings,121428000.0,7444000.0,-25742000.0,-1056000.0
Total Cash From Financing Activities,100710000.0,-10650000.0,-63772000.0,-18009000.0
Change To Operating Activities,68288000.0,-53858000.0,25680000.0,35944000.0
Issuance Of Stock,573000.0,19318000.0,17981000.0,256000.0
Net Income,62110000.0,55014000.0,35815000.0,39342000.0
Change In Cash,-192173000.0,-9268000.0,-42329000.0,89707000.0
Repurchase Of Stock,-10666000.0,-27856000.0,-42897000.0,-7597000.0
Effect Of Exchange Rate,2175000.0,-2463000.0,10839000.0,3787000.0
Total Cash From Operating Activities,37032000.0,33153000.0,43248000.0,122302000.0
Depreciation,23032000.0,21031000.0,21369000.0,20939000.0
Other Cashflows From Investing Activities,278000.0,-1947000.0,-5570000.0,3680000.0
Dividends Paid,-10625000.0,-9556000.0,-9614000.0,-9612000.0
Change To Inventory,-74832000.0,-67386000.0,11104000.0,6321000.0
Change To Account Receivables,-83725000.0,21162000.0,-6867000.0,15048000.0
Change To Netincome,-10610000.0,7393000.0,-9480000.0,-359000.0
Capital Expenditures,-21259000.0,-27565000.0,-35740000.0,-22795000.0
Investments,,,-1283000.0,-1283000.0
Other Cashflows From Financing Activities,,,-3500000.0,-3500000.0
