,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,1302500000.0,1441600000.0,1564200000.0,1663200000.0
1,Capital Surplus,1791800000.0,277700000.0,277700000.0,277700000.0
2,Total Liab,4561700000.0,5362200000.0,5334700000.0,4938100000.0
3,Total Stockholder Equity,512100000.0,-704800000.0,-540300000.0,-129600000.0
4,Other Current Liab,798000000.0,702500000.0,329100000.0,265600000.0
5,Total Assets,5073800000.0,4657400000.0,4794400000.0,4808500000.0
6,Other Current Assets,183200000.0,180700000.0,141900000.0,93200000.0
7,Retained Earnings,-1331200000.0,-1000600000.0,-859800000.0,-540800000.0
8,Other Liab,559700000.0,297000000.0,300500000.0,329600000.0
9,Good Will,607200000.0,605800000.0,634000000.0,596100000.0
10,Treasury Stock,51500000.0,18100000.0,41800000.0,133500000.0
11,Other Assets,71900000.0,54000000.0,59200000.0,98300000.0
12,Cash,534600000.0,223500000.0,215100000.0,388000000.0
13,Total Current Liabilities,1741600000.0,1519700000.0,1606400000.0,1448900000.0
14,Deferred Long Term Asset Charges,20900000.0,9000000.0,10400000.0,25000000.0
15,Short Long Term Debt,32300000.0,,,
16,Other Stockholder Equity,51500000.0,18100000.0,41800000.0,133500000.0
17,Property Plant Equipment,573400000.0,538600000.0,441700000.0,462800000.0
18,Total Current Assets,2518800000.0,2017400000.0,2095300000.0,1988100000.0
19,Net Tangible Assets,-1397600000.0,-2752200000.0,-2738500000.0,-2388900000.0
20,Net Receivables,1354400000.0,1212200000.0,1251800000.0,1102800000.0
21,Long Term Debt,2153100000.0,3467300000.0,3427800000.0,3159600000.0
22,Inventory,446600000.0,401000000.0,486500000.0,404100000.0
23,Accounts Payable,730500000.0,636800000.0,778200000.0,672500000.0
24,Common Stock,,,2015.0,1725.0
0,Change To Liabilities,78200000.0,-140800000.0,101900000.0,57300000.0
1,Total Cashflows From Investing Activities,-45700000.0,-65300000.0,-207700000.0,1058100000.0
2,Net Borrowings,-1415000000.0,14800000.0,245100000.0,232500000.0
3,Total Cash From Financing Activities,140700000.0,14800000.0,245100000.0,-874100000.0
4,Change To Operating Activities,21100000.0,-6800000.0,-16300000.0,52500000.0
5,Issuance Of Stock,156500000.0,156500000.0,690000000.0,690000000.0
6,Net Income,-327300000.0,-140800000.0,-314000000.0,-369600000.0
7,Change In Cash,308900000.0,8400000.0,-172900000.0,148600000.0
8,Effect Of Exchange Rate,5000000.0,1400000.0,11600000.0,14200000.0
9,Total Cash From Operating Activities,208900000.0,57500000.0,-221900000.0,-49600000.0
10,Depreciation,203100000.0,202900000.0,217000000.0,344300000.0
11,Change To Inventory,-38500000.0,85500000.0,-73700000.0,1200000.0
12,Change To Account Receivables,-114800000.0,39800000.0,-139600000.0,-106800000.0
13,Other Cashflows From Financing Activities,1402500000.0,1402500000.0,1545932.0,-82600000.0
14,Change To Netincome,383400000.0,3900000.0,-40400000.0,-123100000.0
15,Capital Expenditures,-44400000.0,-47600000.0,-64600000.0,-36700000.0
16,Other Cashflows From Investing Activities,,,-690000000.0,69900000.0
17,Dividends Paid,,,,-1024000000.0
