Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days
1996-12-03,4.75,4.875,4.5,4.5,4.5,1852800,VSAT,0.9722222222222222,1.1111111111111112,1.5277777777777777
1996-12-04,4.5,4.625,4.5,4.5,4.5,369400,VSAT,0.9722222222222222,1.0972222222222223,1.5277777777777777
1996-12-05,4.75,4.75,4.5,4.5,4.5,130600,VSAT,0.9722222222222222,1.0833333333333333,1.6527777777777777
1996-12-06,4.5,4.578125,4.5,4.578125,4.578125,161200,VSAT,1.0375426621160408,1.0921501706484642,1.6382252559726962
1996-12-09,4.578125,4.625,4.5,4.578125,4.578125,88400,VSAT,1.2013651877133107,1.10580204778157,1.583617747440273
1996-12-10,4.5625,4.625,4.4375,4.578125,4.578125,222600,VSAT,1.2013651877133107,1.0375426621160408,1.583617747440273
1996-12-11,4.5,4.578125,4.5,4.5625,4.5625,94600,VSAT,1.1369863013698631,1.0410958904109588,1.5890410958904109
1996-12-12,4.5625,4.59375,4.5,4.5,4.5,55400,VSAT,1.2361111111111112,1.0416666666666667,1.7361111111111112
1996-12-13,4.5,4.8125,4.5,4.625,4.625,45800,VSAT,1.1756756756756757,1.0,1.5472972972972974
1996-12-16,4.8125,4.8125,4.5,4.5,4.5,36200,VSAT,1.1666666666666667,1.0416666666666667,1.6458333333333333
1996-12-17,4.8125,4.8125,4.5,4.5,4.5,139400,VSAT,1.25,1.0416666666666667,1.5694444444444444
1996-12-18,4.5,4.8125,4.5,4.5,4.5,83800,VSAT,1.1944444444444444,1.03125,1.625
1996-12-19,4.5,4.75,4.1875,4.3125,4.3125,129400,VSAT,1.3043478260869565,1.0579710144927537,1.681159420289855
1996-12-20,4.5,4.5,4.1875,4.1875,4.1875,217800,VSAT,1.3134328358208955,1.0895522388059702,1.7313432835820894
1996-12-23,4.5625,4.5625,4.25,4.5,4.5,80400,VSAT,1.2222222222222223,1.0416666666666667,1.5625
1996-12-24,4.5625,4.5625,4.25,4.5,4.5,3200,VSAT,1.2222222222222223,1.001736217074924,1.5555555555555556
1996-12-26,4.375,4.5625,4.25,4.25,4.25,27400,VSAT,1.2352941176470589,1.088235294117647,1.6691176470588236
1996-12-27,4.375,4.5625,4.375,4.5625,4.5625,5800,VSAT,1.095890410958904,1.0205479452054795,1.5547945205479452
1996-12-30,4.5625,4.75,4.5,4.6875,4.6875,63800,VSAT,1.0666666666666667,1.0666666666666667,1.3066666666666666
1996-12-31,4.75,4.75,4.5,4.5,4.5,19400,VSAT,1.1111111111111112,1.0833333333333333,1.5
1997-01-02,4.75,4.75,4.5,4.5,4.5,6400,VSAT,1.1041666666666667,1.1388888888888888,1.5694444444444444
1997-01-03,4.5,4.6875,4.375,4.375,4.375,24600,VSAT,1.1285714285714286,1.1428571428571428,1.6142857142857143
1997-01-06,4.6875,4.6875,4.375,4.375,4.375,32600,VSAT,1.1,1.1714285714285715,1.6142857142857143
1997-01-07,4.375,4.625,4.375,4.375,4.375,85200,VSAT,1.1428571428571428,1.2142857142857142,1.6285714285714286
1997-01-08,4.375,4.625,4.375,4.375,4.375,20800,VSAT,1.1428571428571428,1.2,1.6285714285714286
1997-01-09,4.3125,4.875,4.3125,4.75,4.75,204200,VSAT,1.0657894736842106,1.0526315789473684,1.4605263157894737
1997-01-10,5.0,5.5,4.6875,5.5,5.5,490400,VSAT,0.9318181818181818,0.9545454545454546,1.2613636363636365
1997-01-13,5.5,6.125,5.3125,5.5,5.5,262600,VSAT,0.9318181818181818,0.9545454545454546,1.3636363636363635
1997-01-14,5.5,5.5,5.1875,5.1875,5.1875,56600,VSAT,0.9879518072289156,0.963855421686747,1.3975903614457832
1997-01-15,5.125,5.5625,4.9375,5.5625,5.5625,99000,VSAT,0.9213483146067416,0.898876404494382,1.348314606741573
1997-01-16,5.5,5.5,5.25,5.4375,5.4375,48400,VSAT,0.9425287356321839,0.896551724137931,1.3908045977011494
1997-01-17,5.25,5.5,5.25,5.25,5.25,58600,VSAT,0.9642857142857143,0.9404761904761905,1.5952380952380953
1997-01-20,5.5,5.625,5.25,5.625,5.625,76400,VSAT,0.8444444444444444,0.8,1.5777777777777777
1997-01-21,5.375,5.625,5.375,5.375,5.375,21400,VSAT,0.8604651162790697,0.8837209302325582,1.686046511627907
1997-01-22,5.625,5.625,5.375,5.625,5.625,33800,VSAT,0.8555555555555555,0.8444444444444444,1.6444444444444444
1997-01-23,5.625,5.625,5.25,5.5,5.5,63800,VSAT,0.8522727272727273,0.8068181818181818,1.6022727272727273
1997-01-24,5.625,5.625,5.25,5.5,5.5,72000,VSAT,0.8977272727272727,0.8636363636363636,1.6363636363636365
1997-01-27,5.5,5.5,5.5,5.5,5.5,1600,VSAT,0.9090909090909091,0.8522727272727273,1.6704545454545454
1997-01-28,5.5,5.625,5.25,5.25,5.25,15000,VSAT,0.9523809523809523,0.8571428571428571,1.8214285714285714
1997-01-29,5.5,5.5,4.875,5.0,5.0,81400,VSAT,1.0,0.95,1.9
1997-01-30,5.125,5.125,5.0,5.0,5.0,60200,VSAT,1.025,0.95,1.8125
1997-01-31,5.1875,5.1875,4.75,5.0,5.0,219000,VSAT,0.975,0.9375,1.7625
1997-02-03,5.0,5.125,4.9375,4.96875,4.96875,101600,VSAT,0.9937106918238994,0.9937106918238994,1.7232704402515724
1997-02-04,4.875,5.0,4.5625,4.9375,4.9375,49000,VSAT,0.9620253164556962,1.0126582278481013,1.8481012658227849
1997-02-05,5.0625,5.125,4.8125,4.8125,4.8125,339800,VSAT,1.0389610389610389,1.0909090909090908,1.7922077922077921
1997-02-06,5.125,5.125,4.875,5.0,5.0,105400,VSAT,0.9875,0.975,1.75
1997-02-07,5.125,5.125,4.875,5.0,5.0,32000,VSAT,0.975,1.0,1.8
1997-02-10,5.125,5.125,4.875,5.0625,5.0625,112600,VSAT,0.9876543209876543,0.9876543209876543,1.7901234567901234
1997-02-11,5.125,5.125,4.875,5.125,5.125,70600,VSAT,0.9878048780487805,0.9390243902439024,1.7682926829268293
1997-02-12,5.125,5.125,4.875,5.125,5.125,44400,VSAT,0.926829268292683,1.0,1.853658536585366
1997-02-13,5.0,5.125,4.875,5.125,5.125,23800,VSAT,0.926829268292683,1.0853658536585367,1.853658536585366
1997-02-14,4.875,5.125,4.875,5.125,5.125,157600,VSAT,0.9146341463414634,1.0731707317073171,1.7926829268292683
1997-02-18,4.875,5.125,4.875,5.125,5.125,12200,VSAT,0.9024390243902439,1.0731707317073171,1.7439024390243902
1997-02-19,5.0,5.125,4.875,5.0625,5.0625,32000,VSAT,0.9259259259259259,1.0864197530864197,1.8518518518518519
1997-02-20,5.125,5.125,4.75,4.75,4.75,78400,VSAT,0.9868421052631579,1.381578947368421,1.881578947368421
1997-02-21,4.75,4.8125,4.5,4.625,4.625,142400,VSAT,1.0033783783783783,1.5675675675675675,1.9189189189189189
1997-02-24,4.8125,4.8125,4.625,4.8125,4.8125,24200,VSAT,0.948051948051948,1.4545454545454546,1.87012987012987
1997-02-25,4.8125,4.8125,4.625,4.6875,4.6875,7400,VSAT,0.9733333333333334,1.5466666666666666,1.96
1997-02-26,4.625,4.9375,4.625,4.9375,4.9375,29200,VSAT,0.9493670886075949,1.518987341772152,1.8481012658227849
1997-02-27,4.9375,5.0,4.75,5.0,5.0,14600,VSAT,0.9015625953674317,1.525,1.825
1997-02-28,4.9375,5.0625,4.75,5.0,5.0,76200,VSAT,0.925,1.45,1.825
1997-03-03,5.125,5.125,4.75,5.0,5.0,11000,VSAT,0.93125,1.4,1.85
1997-03-04,4.9375,5.125,4.875,5.125,5.125,59200,VSAT,0.975609756097561,1.4024390243902438,1.7317073170731707
1997-03-05,5.125,5.125,4.75,4.875,4.875,80800,VSAT,1.0,1.4743589743589745,1.8846153846153846
1997-03-06,4.75,4.9375,4.75,4.9375,4.9375,20000,VSAT,1.0379746835443038,1.4303797468354431,2.1265822784810124
1997-03-07,4.9375,5.0,4.75,4.75,4.75,47000,VSAT,1.0526315789473684,1.394736842105263,2.3552631578947367
1997-03-10,5.0,5.0,4.75,5.0,5.0,12200,VSAT,1.025,1.375,1.9875
1997-03-11,5.0,5.0,4.9375,4.9375,4.9375,5000,VSAT,1.0759493670886076,1.3924050632911393,2.1265822784810124
1997-03-12,4.875,5.0,4.875,4.875,4.875,45200,VSAT,1.0769230769230769,1.5256410256410255,2.108974358974359
1997-03-13,4.96875,5.0625,4.875,5.0,5.0,118400,VSAT,1.0,1.5,2.0625
1997-03-14,5.0625,5.0625,4.875,5.0625,5.0625,90200,VSAT,1.037037037037037,1.4320987654320987,1.9753086419753085
1997-03-17,4.875,5.0625,4.5,4.75,4.75,81400,VSAT,1.105263157894737,1.5263157894736843,2.210526315789474
1997-03-18,4.875,4.875,4.75,4.75,4.75,5400,VSAT,1.0526315789473684,1.5263157894736843,2.210526315789474
1997-03-19,4.75,4.875,4.5625,4.6875,4.6875,61000,VSAT,1.0666666666666667,1.6666666666666667,2.2266666666666666
1997-03-20,4.75,4.75,4.625,4.625,4.625,25200,VSAT,1.054054054054054,1.5472972972972974,2.2972972972972974
1997-03-21,4.625,4.6875,4.5625,4.6875,4.6875,36600,VSAT,1.0533333333333332,1.58,2.2133333333333334
1997-03-24,4.6875,4.6875,4.5625,4.6875,4.6875,158400,VSAT,0.96,1.5066666666666666,2.2133333333333334
1997-03-25,4.625,4.640625,4.5625,4.640625,4.640625,41200,VSAT,1.0235690235690236,1.5757575757575757,2.1952861952861955
1997-03-26,4.625,4.6875,4.5625,4.5625,4.5625,102600,VSAT,1.0410958904109588,1.5890410958904109,2.267123287671233
1997-03-27,4.6875,4.6875,4.5625,4.5625,4.5625,54600,VSAT,0.9726027397260274,1.5890410958904109,2.4178082191780823
1997-03-31,4.6875,4.6875,4.5625,4.6875,4.6875,25400,VSAT,1.0133333333333334,1.5,2.546666666666667
1997-04-01,4.5,4.6875,4.5,4.507812976837158,4.507812976837158,50000,VSAT,1.0398612418230617,1.5528594544557721,2.6343151459517564
1997-04-02,4.6875,4.6875,4.5625,4.625,4.625,149200,VSAT,0.972972972972973,1.5337837837837838,2.5
1997-04-03,4.75,4.875,4.5625,4.65625,4.65625,21800,VSAT,1.0201342281879195,1.523489932885906,2.4966442953020134
1997-04-04,4.875,5.0,4.625,5.0,5.0,52600,VSAT,0.95,1.225,2.275
1997-04-07,4.875,5.0,4.875,4.875,4.875,18000,VSAT,0.9615384615384616,1.3846153846153846,2.3846153846153846
1997-04-08,5.0,5.25,4.875,5.125,5.125,27600,VSAT,0.9634146341463414,1.3780487804878048,2.2560975609756095
1997-04-09,5.125,5.25,5.0,5.0,5.0,24600,VSAT,1.0,1.4125,2.3
1997-04-10,5.25,5.25,5.0,5.125,5.125,10000,VSAT,1.024390243902439,1.3780487804878048,2.1341463414634148
1997-04-11,5.0,5.3125,5.0,5.3125,5.3125,64200,VSAT,0.9176470588235294,1.3411764705882352,2.0470588235294116
1997-04-14,5.3125,5.3125,5.0625,5.25,5.25,15600,VSAT,0.9523809523809523,1.3571428571428572,2.0595238095238093
1997-04-15,5.1875,5.25,5.0,5.0,5.0,3600,VSAT,1.0,1.3875,2.225
1997-04-16,5.0,5.25,5.0,5.25,5.25,9800,VSAT,0.9166666666666666,1.3214285714285714,2.107142857142857
1997-04-17,5.0,5.3125,5.0,5.25,5.25,12200,VSAT,0.9761904761904762,1.4285714285714286,2.0476190476190474
1997-04-18,5.3125,5.3125,5.0,5.0,5.0,5800,VSAT,1.1125,1.45,2.05
1997-04-21,5.0,5.25,4.875,5.0,5.0,25200,VSAT,1.1,1.5,1.7125
1997-04-22,4.875,4.875,4.875,4.875,4.875,200,VSAT,1.1282051282051282,1.5512820512820513,1.9326923076923077
1997-04-23,4.875,5.03125,4.5625,4.9375,4.9375,165200,VSAT,1.1139240506329113,1.6962025316455696,1.879746835443038
1997-04-24,4.5625,4.6875,4.4375,4.5,4.5,20800,VSAT,1.4583333333333333,1.9722222222222223,1.9861111111111112
1997-04-25,4.625,4.75,4.4375,4.75,4.75,2800,VSAT,1.5263157894736843,1.9078947368421053,1.9342105263157894
1997-04-28,4.75,4.75,4.6875,4.75,4.75,4600,VSAT,1.4736842105263157,1.9473684210526316,1.9210526315789473
