,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,3869200000.0,4104000000.0,1129900000.0,1204432000.0
1,Capital Surplus,7880600000.0,7877200000.0,914600000.0,906616000.0
2,Total Liab,8301800000.0,8950600000.0,5780100000.0,3751448000.0
3,Total Stockholder Equity,10122300000.0,9956500000.0,2865200000.0,2808868000.0
4,Minority Interest,30400000.0,37100000.0,3900000.0,19664000.0
5,Other Current Liab,1121700000.0,949200000.0,580300000.0,601258000.0
6,Total Assets,18454500000.0,18944200000.0,8649200000.0,6579980000.0
7,Common Stock,2000000.0,2000000.0,1300000.0,1323000.0
8,Other Current Assets,226500000.0,150900000.0,1877000000.0,122291000.0
9,Retained Earnings,3588900000.0,3267000000.0,3022000000.0,2773300000.0
10,Other Liab,1044100000.0,1359000000.0,340700000.0,354815000.0
11,Good Will,8485200000.0,8360600000.0,2396500000.0,2460103000.0
12,Treasury Stock,-1349200000.0,-1189700000.0,-1072700000.0,-872371000.0
13,Other Assets,518700000.0,536500000.0,109400000.0,76360000.0
14,Cash,598700000.0,604200000.0,580900000.0,233401000.0
15,Total Current Liabilities,3226300000.0,3258000000.0,1646600000.0,1573330000.0
16,Short Long Term Debt,447200000.0,95700000.0,64100000.0,47225000.0
17,Other Stockholder Equity,-339100000.0,-382600000.0,-256600000.0,-44992000.0
18,Property Plant Equipment,1601600000.0,1655800000.0,563800000.0,573972000.0
19,Total Current Assets,3879800000.0,4192100000.0,4449600000.0,2265113000.0
20,Long Term Investments,100000000.0,95200000.0,,
21,Net Tangible Assets,-2232100000.0,-2508100000.0,-661200000.0,-855667000.0
22,Net Receivables,1412500000.0,1663900000.0,1146800000.0,1166787000.0
23,Long Term Debt,3792200000.0,4333600000.0,3792800000.0,1823303000.0
24,Inventory,1642100000.0,1773100000.0,844900000.0,742634000.0
25,Accounts Payable,909400000.0,1157500000.0,589400000.0,552525000.0
0,Change To Liabilities,-269000000.0,-144300000.0,48800000.0,-91700000.0
1,Total Cashflows From Investing Activities,-155400000.0,-3177800000.0,-147300000.0,-1033500000.0
2,Net Borrowings,-199300000.0,558800000.0,2026700000.0,-52800000.0
3,Total Cash From Financing Activities,-619000000.0,461500000.0,1978100000.0,-97400000.0
4,Change To Operating Activities,-355900000.0,215200000.0,-400000.0,-10700000.0
5,Net Income,414400000.0,326700000.0,294900000.0,262300000.0
6,Change In Cash,-5500000.0,-1738100000.0,2108900000.0,-909800000.0
7,Repurchase Of Stock,-207200000.0,-207200000.0,-207200000.0,-6800000.0
8,Effect Of Exchange Rate,-14800000.0,-37300000.0,-36600000.0,32300000.0
9,Total Cash From Operating Activities,783700000.0,1015500000.0,314700000.0,188800000.0
10,Depreciation,385100000.0,319200000.0,109300000.0,103200000.0
11,Dividends Paid,-92500000.0,-81700000.0,-46300000.0,-42200000.0
12,Change To Inventory,180800000.0,255900000.0,-108900000.0,-9000000.0
13,Change To Account Receivables,315000000.0,-6300000.0,-54600000.0,-68700000.0
14,Other Cashflows From Financing Activities,-120000000.0,-15600000.0,-2300000.0,-2300000.0
15,Change To Netincome,56400000.0,38400000.0,17700000.0,-44200000.0
16,Capital Expenditures,-136400000.0,-185300000.0,-93300000.0,-89500000.0
17,Other Cashflows From Investing Activities,,,-14100000.0,-14100000.0
18,Issuance Of Stock,,,,4400000.0
