,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,3869200000.0,4104000000.0,1129900000.0,1204432000.0
Capital Surplus,7880600000.0,7877200000.0,914600000.0,906616000.0
Total Liab,8301800000.0,8950600000.0,5780100000.0,3751448000.0
Total Stockholder Equity,10122300000.0,9956500000.0,2865200000.0,2808868000.0
Minority Interest,30400000.0,37100000.0,3900000.0,19664000.0
Other Current Liab,1121700000.0,949200000.0,580300000.0,601258000.0
Total Assets,18454500000.0,18944200000.0,8649200000.0,6579980000.0
Common Stock,2000000.0,2000000.0,1300000.0,1323000.0
Other Current Assets,226500000.0,150900000.0,1877000000.0,122291000.0
Retained Earnings,3588900000.0,3267000000.0,3022000000.0,2773300000.0
Other Liab,1044100000.0,1359000000.0,340700000.0,354815000.0
Good Will,8485200000.0,8360600000.0,2396500000.0,2460103000.0
Treasury Stock,-1349200000.0,-1189700000.0,-1072700000.0,-872371000.0
Other Assets,518700000.0,536500000.0,109400000.0,76360000.0
Cash,598700000.0,604200000.0,580900000.0,233401000.0
Total Current Liabilities,3226300000.0,3258000000.0,1646600000.0,1573330000.0
Short Long Term Debt,447200000.0,95700000.0,64100000.0,47225000.0
Other Stockholder Equity,-339100000.0,-382600000.0,-256600000.0,-44992000.0
Property Plant Equipment,1601600000.0,1655800000.0,563800000.0,573972000.0
Total Current Assets,3879800000.0,4192100000.0,4449600000.0,2265113000.0
Long Term Investments,100000000.0,95200000.0,,
Net Tangible Assets,-2232100000.0,-2508100000.0,-661200000.0,-855667000.0
Net Receivables,1412500000.0,1663900000.0,1146800000.0,1166787000.0
Long Term Debt,3792200000.0,4333600000.0,3792800000.0,1823303000.0
Inventory,1642100000.0,1773100000.0,844900000.0,742634000.0
Accounts Payable,909400000.0,1157500000.0,589400000.0,552525000.0
