,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,3043000000.0,3478000000.0,3318000000.0,3882000000.0
Capital Surplus,10748000000.0,10687000000.0,10615000000.0,9375000000.0
Total Liab,27599000000.0,25057000000.0,22388000000.0,22181000000.0
Total Stockholder Equity,10820000000.0,10249000000.0,9852000000.0,10126000000.0
Minority Interest,112000000.0,120000000.0,145000000.0,151000000.0
Deferred Long Term Liab,98000000.0,76000000.0,46000000.0,
Other Current Liab,16238000000.0,13867000000.0,13461000000.0,12912000000.0
Total Assets,38531000000.0,35426000000.0,32385000000.0,32458000000.0
Other Current Assets,15406000000.0,13292000000.0,12806000000.0,12276000000.0
Retained Earnings,2434000000.0,1792000000.0,1201000000.0,924000000.0
Other Liab,2666000000.0,2700000000.0,2672000000.0,2948000000.0
Good Will,11204000000.0,11194000000.0,10465000000.0,10519000000.0
Treasury Stock,-2362000000.0,-2230000000.0,-1964000000.0,-173000000.0
Other Assets,2043000000.0,1680000000.0,1233000000.0,1154000000.0
Cash,2089000000.0,887000000.0,1033000000.0,1030000000.0
Total Current Liabilities,19332000000.0,16070000000.0,15301000000.0,14755000000.0
Deferred Long Term Asset Charges,95000000.0,72000000.0,59000000.0,46000000.0
Short Long Term Debt,971000000.0,24000000.0,186000000.0,85000000.0
Other Stockholder Equity,-2359000000.0,-2227000000.0,-1961000000.0,-173000000.0
Property Plant Equipment,1916000000.0,2014000000.0,942000000.0,985000000.0
Total Current Assets,20301000000.0,17037000000.0,16420000000.0,15861000000.0
Long Term Investments,24000000.0,23000000.0,7000000.0,57000000.0
Net Tangible Assets,-3427000000.0,-4423000000.0,-3931000000.0,-4275000000.0
Net Receivables,2682000000.0,2713000000.0,2445000000.0,2423000000.0
Long Term Debt,4664000000.0,5301000000.0,4389000000.0,4450000000.0
Accounts Payable,313000000.0,318000000.0,243000000.0,136000000.0
