,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Intangible Assets,956000000.0,990000000.0,1045000000.0,450000000.0
1,Capital Surplus,5104000000.0,5071000000.0,5129000000.0,5104000000.0
2,Total Liab,21683000000.0,21641000000.0,21891000000.0,17615000000.0
3,Total Stockholder Equity,7352000000.0,7427000000.0,7452000000.0,7155000000.0
4,Minority Interest,2000000.0,2000000.0,2000000.0,2000000.0
5,Other Current Liab,686000000.0,678000000.0,677000000.0,598000000.0
6,Total Assets,29037000000.0,29070000000.0,29345000000.0,24772000000.0
7,Common Stock,6000000.0,6000000.0,6000000.0,6000000.0
8,Other Current Assets,307000000.0,300000000.0,239000000.0,320000000.0
9,Retained Earnings,11444000000.0,11337000000.0,11159000000.0,10952000000.0
10,Other Liab,5117000000.0,5112000000.0,4626000000.0,4554000000.0
11,Good Will,8992000000.0,8980000000.0,8994000000.0,6504000000.0
12,Treasury Stock,-9202000000.0,-8987000000.0,-8842000000.0,-8907000000.0
13,Other Assets,1336000000.0,1309000000.0,726000000.0,1190000000.0
14,Cash,148000000.0,476000000.0,553000000.0,703000000.0
15,Total Current Liabilities,3683000000.0,3285000000.0,3553000000.0,2806000000.0
16,Short Long Term Debt,361000000.0,244000000.0,501000000.0,167000000.0
17,Other Stockholder Equity,70000000.0,48000000.0,39000000.0,-16000000.0
18,Property Plant Equipment,14110000000.0,14038000000.0,14614000000.0,12846000000.0
19,Total Current Assets,3226000000.0,3327000000.0,3540000000.0,3357000000.0
20,Long Term Investments,417000000.0,426000000.0,426000000.0,425000000.0
21,Net Tangible Assets,-2596000000.0,-2543000000.0,-2587000000.0,201000000.0
22,Net Receivables,2645000000.0,2427000000.0,2624000000.0,2217000000.0
23,Long Term Debt,12258000000.0,12617000000.0,12945000000.0,9604000000.0
24,Inventory,126000000.0,124000000.0,124000000.0,117000000.0
25,Accounts Payable,1393000000.0,1212000000.0,1121000000.0,884000000.0
0,Change To Liabilities,202000000.0,-41000000.0,-82000000.0,99000000.0
1,Total Cashflows From Investing Activities,-374000000.0,-334000000.0,-3606000000.0,-323000000.0
2,Net Borrowings,-290000000.0,-329000000.0,2905000000.0,-2409000000.0
3,Total Cash From Financing Activities,-980000000.0,-830000000.0,2685000000.0,-2669000000.0
4,Change To Operating Activities,-19000000.0,6000000.0,69000000.0,-19000000.0
5,Issuance Of Stock,24000000.0,17000000.0,14000000.0,7000000.0
6,Net Income,351000000.0,421000000.0,438000000.0,390000000.0
7,Change In Cash,-309000000.0,-42000000.0,-165000000.0,-1959000000.0
8,Repurchase Of Stock,-250000000.0,-278000000.0,-278000000.0,-278000000.0
9,Effect Of Exchange Rate,2000000.0,2000000.0,3000000.0,4000000.0
10,Total Cash From Operating Activities,1043000000.0,1120000000.0,753000000.0,1029000000.0
11,Depreciation,500000000.0,472000000.0,436000000.0,419000000.0
12,Other Cashflows From Investing Activities,23000000.0,-72000000.0,5000000.0,17000000.0
13,Dividends Paid,-242000000.0,-247000000.0,-231000000.0,-230000000.0
14,Change To Account Receivables,-223000000.0,199000000.0,-255000000.0,-109000000.0
15,Other Cashflows From Financing Activities,-222000000.0,7000000.0,-3000000.0,-37000000.0
16,Change To Netincome,232000000.0,63000000.0,147000000.0,249000000.0
17,Capital Expenditures,-396000000.0,-270000000.0,-394000000.0,-343000000.0
