,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-17000000.0,37000000.0,-154000000.0,106000000.0
Total Cashflows From Investing Activities,185000000.0,187000000.0,-440000000.0,367000000.0
Net Borrowings,-990000000.0,-270000000.0,154000000.0,-606000000.0
Total Cash From Financing Activities,-1358000000.0,-1348000000.0,-1162000000.0,-1420000000.0
Change To Operating Activities,-4000000.0,6000000.0,-18000000.0,-12000000.0
Issuance Of Stock,33000000.0,13000000.0,52000000.0,128000000.0
Net Income,797000000.0,-76000000.0,748000000.0,582000000.0
Change In Cash,356000000.0,-195000000.0,-490000000.0,148000000.0
Total Cash From Operating Activities,1529000000.0,966000000.0,1112000000.0,1201000000.0
Depreciation,472000000.0,510000000.0,486000000.0,521000000.0
Other Cashflows From Investing Activities,365000000.0,274000000.0,-13000000.0,46000000.0
Dividends Paid,-381000000.0,-1013000000.0,-995000000.0,-941000000.0
Change To Inventory,-25000000.0,-23000000.0,-14000000.0,-39000000.0
Change To Account Receivables,-141000000.0,13000000.0,62000000.0,-35000000.0
Other Cashflows From Financing Activities,-20000000.0,-18000000.0,-7000000.0,-1000000.0
Change To Netincome,382000000.0,466000000.0,105000000.0,128000000.0
Capital Expenditures,-481000000.0,-57000000.0,-59000000.0,-61000000.0
Repurchase Of Stock,,-60000000.0,-366000000.0,-366000000.0
Investments,,,,108000000.0
