,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,403000000.0,386000000.0,238000000.0,153000000.0
Total Cashflows From Investing Activities,-123000000.0,-762000000.0,24000000.0,-134000000.0
Net Borrowings,-280000000.0,-1354000000.0,-30000000.0,-744000000.0
Total Cash From Financing Activities,-282000000.0,-573000000.0,7000000.0,-732000000.0
Net Income,1012000000.0,91000000.0,49000000.0,-234000000.0
Change In Cash,590000000.0,-1236000000.0,331000000.0,-642000000.0
Repurchase Of Stock,-1000000.0,-1000000.0,-1000000.0,-1000000.0
Effect Of Exchange Rate,3000000.0,-12000000.0,13000000.0,11000000.0
Total Cash From Operating Activities,992000000.0,111000000.0,287000000.0,213000000.0
Depreciation,202000000.0,189000000.0,162000000.0,162000000.0
Change To Inventory,-160000000.0,-183000000.0,11000000.0,251000000.0
Change To Account Receivables,-398000000.0,-477000000.0,116000000.0,-152000000.0
Other Cashflows From Financing Activities,-1000000.0,-10000000.0,39000000.0,15000000.0
Change To Netincome,-111000000.0,102000000.0,-174000000.0,30000000.0
Capital Expenditures,-148000000.0,-136000000.0,-134000000.0,-136000000.0
Issuance Of Stock,,791000000.0,791000000.0,791000000.0
Other Cashflows From Investing Activities,,-1000000.0,-1000000.0,-1000000.0
Investments,,,-6000000.0,-6000000.0
Change To Operating Activities,,,-122000000.0,-122000000.0
Dividends Paid,,,-2000000.0,-3000000.0
