,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Capital Surplus,1767811000.0,1752096000.0,1732772000.0,1715343000.0
Total Liab,73018000.0,64962000.0,77230000.0,52629000.0
Total Stockholder Equity,763034000.0,810831000.0,855107000.0,895136000.0
Total Assets,836052000.0,875793000.0,932337000.0,947765000.0
Common Stock,61000.0,60000.0,60000.0,60000.0
Retained Earnings,-1004429000.0,-940908000.0,-877437000.0,-820042000.0
Other Liab,373000.0,,,
Treasury Stock,-409000.0,-417000.0,-288000.0,-225000.0
Other Assets,1706000.0,1717000.0,1727000.0,1708000.0
Cash,336199000.0,455513000.0,670952000.0,729685000.0
Total Current Liabilities,59478000.0,49819000.0,60163000.0,37302000.0
Other Stockholder Equity,-409000.0,-417000.0,-288000.0,-225000.0
Property Plant Equipment,27379000.0,28271000.0,29756000.0,27281000.0
Total Current Assets,717773000.0,737612000.0,893269000.0,913777000.0
Long Term Investments,89194000.0,108193000.0,7585000.0,4999000.0
Net Tangible Assets,763034000.0,810831000.0,855107000.0,895136000.0
Short Term Investments,287151000.0,231736000.0,178951000.0,152677000.0
Net Receivables,29719000.0,26407000.0,26401000.0,22561000.0
Accounts Payable,9438000.0,4463000.0,8472000.0,8861000.0
