Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Change To Netincome,Capital Expenditures,Net Borrowings,Other Cashflows From Financing Activities
2019-04-18,65.0,66.0,60.32099914550781,62.0,62.0,25764700,ZM,1.3780645555065525,1.5474193942162295,1.023387109079669,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-04-22,61.0,68.9000015258789,59.93999862670898,65.69999694824219,65.69999694824219,9949700,ZM,1.2546423764694132,1.4780822697275595,1.0130898120288965,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-04-23,66.87000274658203,74.16899871826172,65.55000305175781,69.0,69.0,6786500,ZM,1.141449306322181,1.4811593760614812,0.9491304038227468,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-04-24,71.4000015258789,71.5,63.15999984741211,63.20000076293945,63.20000076293945,4973500,ZM,1.206487327207646,1.5264240515211076,1.1075949233381668,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-04-25,64.73999786376953,66.8499984741211,62.59999847412109,65.0,65.0,3863300,ZM,1.1964614868164063,1.4690768902118387,1.0752307598407451,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-04-26,66.12000274658203,66.98999786376953,63.59999847412109,66.22000122070312,66.22000122070312,1527400,ZM,1.1442161770812165,1.4423135061249452,1.0629718829972117,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-04-29,66.52999877929688,68.5,64.75,68.16999816894531,68.16999816894531,1822300,ZM,1.1796978191145158,1.3950418223341494,1.0286050261113993,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-04-30,68.4000015258789,72.5199966430664,66.66999816894531,72.47000122070312,72.47000122070312,4113100,ZM,1.1001794123629247,1.2923968826338688,0.9230025978051094,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-01,72.72000122070312,76.94999694824219,70.81600189208984,72.76000213623047,72.76000213623047,3301900,ZM,1.0431555703334,1.2326827901059885,0.9184991735696642,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-02,72.75,75.88999938964844,69.69100189208984,75.5,75.5,2525300,ZM,1.042913878990325,1.1977483484129243,0.8849006299151491,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-03,75.0,80.25,75.0,79.18000030517578,79.18000030517578,2590300,ZM,0.985602432618658,1.1675927834291635,0.8821671912718494,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-06,75.01000213623047,80.79000091552734,74.5,78.23999786376953,78.23999786376953,2051800,ZM,1.0152096430712878,1.2240541827444815,0.874105333038585,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-07,77.8499984741211,78.05000305175781,73.25,73.33000183105469,73.33000183105469,1975200,ZM,1.2825583076956688,1.2846037719359396,0.9273148547938878,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-08,74.61000061035156,78.5,74.02999877929688,77.68000030517578,77.68000030517578,2265500,ZM,1.3130792945324408,1.1864058097328405,0.8755149571195225,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-09,76.8499984741211,76.98999786376953,74.0,75.20999908447266,75.20999908447266,1348200,ZM,1.261401461260864,1.2691131247194518,0.9006780838766779,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-10,75.79000091552734,79.73999786376953,74.7699966430664,79.62999725341797,79.62999725341797,1555100,ZM,1.2905939995954878,1.1635062755436938,0.8791913167273834,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-13,77.38999938964844,77.38999938964844,70.5999984741211,72.54000091552734,72.54000091552734,2873200,ZM,1.3916459287862186,1.2495174833978635,0.9660876888141025,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
2019-05-14,74.12000274658203,76.88500213623047,73.11000061035156,73.13999938964844,73.13999938964844,1950400,ZM,1.3712059304408672,1.2651080058990638,0.9521465678259856,,17760000.0,202452000.0,-7439000.0,29063000.0,121778000.0,354565000.0,89000.0,27442000.0,-25153000.0,35253000.0,,-135000.0,40571000.0,63624000.0,152341000.0,-135000.0,37275000.0,276719000.0,,-7439000.0,112777000.0,63613000.0,4963000.0,14858000.0,-9269000.0,72343000.0,-39719000.0,17534000.0,-26333000.0,3565000.0,7584000.0,29147000.0,51332000.0,7008000.0,-1569000.0,-41040000.0,10931000.0,-28432000.0,14908000.0,-939000.0
